index,text,skills,tools,key_concepts,main_topic,topic_score,secondary_topics
0,Bagaimana Anda menangani dan mempersiapkan data yang tidak lengkap untuk analisis statistik?,"analisis, statistik",,"analisis statistik, lengkap analisis, siap data, tangan siap",Data Analysis & BI,0.6666666666666666,Statistics & Experimentation
1,Jelaskan perbedaan antara supervised dan unsupervised learning dalam konteks data science.,"supervised, unsupervised",,"beda supervised, data science, jelas beda, supervised unsupervised, unsupervised learning",Machine Learning & AI,0.75,Data Analysis & BI
2,Apa itu overfitting,,,overfitting,Machine Learning & AI,1.0,
3,Deskripsikan satu teknik visualisasi data yang Anda anggap penting dan jelaskan mengapa.,,,"deskripsi satu, penting jelas, satu teknik, teknik visualisasi, visualisasi data",Data Analysis & BI,1.0,
4,Apa yang Anda pahami tentang fitur penting dan metode untuk menentukannya dalam model?,,,"fitur penting, model, paham, paham fitur, penting metode",Machine Learning & AI,1.0,
5,Bagaimana Anda mengatasi masalah multikolinearitas dalam dataset?,,,"atas, atas masalah, dataset, masalah multikolinearitas, multikolinearitas dataset",Machine Learning & AI,1.0,
6,Dapatkah Anda menjelaskan apa itu p-value dan fungsinya dalam analisis data?,analisis,,"analisis data, data, fungsi analisis, jelas, pvalue fungsi",Data Analysis & BI,1.0,
7,Sebutkan dua algoritma clustering yang umum dan berikan contoh ketika Anda akan menggunakannya.,clustering,,"algoritma clustering, clustering umum, ikan contoh, sebut algoritma, umum ikan",Machine Learning & AI,1.0,
8,Apa itu model ensemble,,,"ensemble, model, model ensemble",Machine Learning & AI,1.0,
9,Dalam konteks pengolahan data,,,"data, konteks, konteks olah, olah, olah data",Umum / Tidak Terklasifikasi,0.0,
10,Bagaimana Anda mengidentifikasi dan menangani outlier dalam dataset?,,,"dataset, identifikasi, identifikasi tangan, outlier dataset, tangan outlier",Machine Learning & AI,1.0,
11,Jelaskan konsep regularisasi dalam konteks model prediktif dan sebutkan jenis-jenisnya.,,,"jelas konsep, konsep regularisasi, konteks model, regularisasi konteks, sebut jenisjenisnya",Machine Learning & AI,1.0,
12,Apa yang Anda ketahui tentang teknik cross-validation dan mengapa penting dalam pengembangan model?,,,"kembang model, model, penting kembang, tahu teknik, teknik crossvalidation",Machine Learning & AI,1.0,
13,Bisakah Anda menjelaskan perbedaan antara bagging dan boosting dalam konteks ensemble learning?,,,"bagging boosting, beda bagging, boosting konteks, ensemble learning, jelas beda",Data Analysis & BI,1.0,
14,Bagaimana Anda menentukan ukuran sampel yang tepat untuk analisis statistik?,"analisis, statistik",,"analisis statistik, sampel tepat, tepat analisis, ukur sampel",Data Analysis & BI,0.6666666666666666,Statistics & Experimentation
15,Apa itu feature engineering dan mengapa itu penting dalam machine learning?,,,"feature, feature engineering, learning, machine learning, penting machine",Machine Learning & AI,1.0,
16,Dapatkah Anda memberi contoh mengenai ketika Anda menggunakan teknik time series untuk analisis data?,analisis,,"analisis data, beri contoh, contoh kena, guna teknik, teknik time",Data Analysis & BI,1.0,
17,Apa pendapat Anda tentang pemilihan model dan metrik evaluasi dalam proyek data science?,,,"data science, evaluasi proyek, metrik evaluasi, model metrik, pilih model",Machine Learning & AI,0.6666666666666666,Data Analysis & BI
18,Bagaimana Anda melakukan interpretasi terhadap hasil model machine learning?,,,"hasil model, interpretasi hasil, laku interpretasi, machine learning, model machine",Machine Learning & AI,1.0,
19,Jelaskan bagaimana Anda dapat menggunakan SQL untuk mengoptimalkan pengambilan data dari database dalam analisis.,"analisis, sql",,"ambil data, database analisis, guna sql, optimal ambil, sql optimal",Data Analysis & BI,1.0,
20,Bagaimana cara Anda menggunakan analisis sentimen dalam proyek data science sebelumnya,analisis,,"analisis sentimen, cara guna, guna analisis, proyek data, sentimen proyek",Data Analysis & BI,1.0,
21,Dapatkah Anda menjelaskan metode SHAP dan bagaimana Anda menggunakannya untuk meningkatkan interpretabilitas model yang kompleks?,,,"guna tingkat, jelas metode, metode shap, model kompleks, tingkat interpretabilitas",Machine Learning & AI,1.0,
22,Apa saja tantangan yang Anda hadapi saat mengimplementasikan model machine learning dalam produksi,,,"hadap implementasi, implementasi model, learning produksi, machine learning, model machine",Machine Learning & AI,0.6666666666666666,
23,Bagaimana Anda berkontribusi dalam pengembangan pipeline data yang efisien,,,"data efisien, efisien, kembang pipeline, kontribusi kembang, pipeline data",Data Engineering & Pipelines,1.0,
24,Dapatkah Anda menjelaskan bagaimana Anda melakukan tuning hiperparameter untuk model machine learning dan teknik yang Anda gunakan?,,,"hiperparameter model, laku tuning, machine learning, model machine, tuning hiperparameter",Machine Learning & AI,1.0,
25,Ceritakan pengalaman Anda dalam bekerja dengan data besar (big data) dan teknologi apa yang Anda gunakan untuk menangani tantangan tersebut.,,,"besar big, cerita alam, guna tangan, tangan tantang, tantang sebut",Umum / Tidak Terklasifikasi,0.0,
26,Bagaimana Anda menjaga etika dalam penggunaan data,,,"data, etika guna, guna data, jaga, jaga etika",Umum / Tidak Terklasifikasi,0.0,
27,Apa yang Anda ketahui tentang interpretabilitas model,,,"interpretabilitas, interpretabilitas model, model, tahu, tahu interpretabilitas",Machine Learning & AI,1.0,
28,Dapatkah Anda memberikan contoh di mana Anda mengoptimalkan algoritma yang Anda gunakan untuk meningkatkan keefisienan?,,,"beri contoh, efisien, guna tingkat, optimal algoritma, tingkat efisien",Machine Learning & AI,1.0,
29,Bagaimana cara Anda melakukan validasi model dalam konteks data yang tidak seimbang,,,"cara laku, konteks data, laku validasi, model konteks, validasi model",Machine Learning & AI,1.0,
30,Seperti apa proses yang Anda lakukan untuk membersihkan data yang tidak konsisten dalam dataset?,,,"bersih data, dataset, konsisten dataset, laku bersih, proses",Machine Learning & AI,1.0,
31,Dapatkah Anda menjelaskan bagaimana Anda akan menggunakan A/B testing dalam proyek analisis data?,analisis,,"analisis data, data, jelas, proyek analisis, testing proyek",Data Analysis & BI,0.5,"Machine Learning & AI, Software Engineering"
32,Apa langkah pertama yang Anda ambil saat menganalisis dataset baru?,,,"ambil analis, analis dataset, baru, dataset baru, langkah pertama",Data Analysis & BI,0.6666666666666666,
33,Bagaimana Anda akan memvisualisasikan hubungan antara dua variabel kuantitatif?,,,"dua variabel, hubung dua, kuantitatif, variabel kuantitatif, visualisasi hubung",Data Analysis & BI,1.0,
34,Dapatkah Anda menjelaskan teknik grund metode regresi dan ketika penggunaannya menjadi penting?,,,"grund metode, jadi penting, jelas teknik, metode regresi, teknik grund",Umum / Tidak Terklasifikasi,0.0,
35,Bagaimana Anda mengevaluasi keakuratan model prediktif saat menganalisis data?,,,"akurat model, analis data, evaluasi akurat, model prediktif, prediktif analis",Data Analysis & BI,0.5,
36,Apa yang Anda ketahui mengenai teknik pengelompokan menggunakan K-means dan bagaimana cara menentukan jumlah cluster yang tepat?,,,"cluster tepat, kelompok guna, kena teknik, tahu kena, teknik kelompok",Umum / Tidak Terklasifikasi,0.0,
37,Bagaimana cara Anda menggunakan pivot table dalam pengolahan data?,,,"cara guna, guna pivot, olah data, pivot table, table olah",Umum / Tidak Terklasifikasi,0.0,
38,Dapatkah Anda menjelaskan langkah-langkah yang Anda ambil untuk melakukan normalisasi data?,,,"ambil laku, data, jelas langkahlangkah, laku normalisasi, normalisasi, normalisasi data",Umum / Tidak Terklasifikasi,0.0,
39,Bagaimana cara Anda mengatasi data yang sangat tidak seimbang dalam klasifikasi?,,,"atas data, cara, cara atas, imbang klasifikasi, klasifikasi",Umum / Tidak Terklasifikasi,0.0,
40,Bagaimana Anda menangani data yang tidak terstruktur saat melakukan analisis?,analisis,,"laku analisis, struktur laku, tangan, tangan data",Data Analysis & BI,1.0,
41,Seperti apa langkah-langkah yang Anda ambil ketika mendeteksi kebocoran data dalam dataset?,,,"ambil deteksi, bocor data, data dataset, dataset, deteksi bocor",Machine Learning & AI,1.0,
42,Bisakah Anda menjelaskan bagaimana Anda menggunakan SQL dalam analisis data?,"analisis, sql",,"analisis data, data, guna sql, jelas, sql analisis",Data Analysis & BI,1.0,
43,Apa teknik statistik lanjutan yang Anda gunakan untuk menguji hipotesis dalam dataset?,statistik,,"guna uji, hipotesis dataset, statistik lanjut, teknik statistik, uji hipotesis",Statistics & Experimentation,0.5,"Data Analysis & BI, Machine Learning & AI"
